Using a 5-gram for the Lunyu:				      |	Using a 6-gram for the Lunyu:
Xi quoted 40 verses a total of 87 times.		      |	Xi quoted 32 verses a total of 70 times.
Han quoted 43 verses a total of 58 times.		      |	Han quoted 39 verses a total of 50 times.
Tang quoted 43 verses a total of 63 times.		      |	Tang quoted 24 verses a total of 29 times.
1.2		5	1	2	2		      |	1.2		2	1	1	0
2.2		1	1	0	0		      |	2.2		0	0	0	0
2.4		4	4	0	0		      |	2.4		2	2	0	0
2.11		3	2	0	1		      |	2.11		0	0	0	0
3.11		2	0	1	1		      |	3.11		1	0	1	0
4.16		1	1	0	0		      |	4.16		0	0	0	0
5.20		1	1	0	0		      |	5.20		0	0	0	0
5.23		1	0	1	0		      |	5.23		0	0	0	0
5.26		1	0	0	1		      |	5.26		0	0	0	0
6.2		2	0	0	2		      |	6.2		0	0	0	0
7.28		2	1	0	1		      |	7.28		1	1	0	0
7.37		2	1	1	0		      |	7.37		1	0	1	0
8.1		2	0	0	2		      |	8.1		0	0	0	0
8.6		4	0	3	1		      |	8.6		2	0	2	0
8.7		6	6	0	0		      |	8.7		1	1	0	0
8.18		7	0	1	6		      |	8.18		1	0	1	0
11.4		1	0	1	0		      |	11.4		0	0	0	0
11.24		1	0	0	1		      |	11.24		0	0	0	0
12.1		2	0	1	1		      |	12.1		1	0	1	0
12.7		1	0	1	0		      |	12.7		0	0	0	0
13.3		3	0	3	0		      |	13.3		2	0	2	0
13.24		1	1	0	0		      |	13.24		0	0	0	0
13.30		2	0	0	2		      |	13.30		0	0	0	0
14.12		1	0	0	1		      |	14.12		0	0	0	0
15.1		2	0	0	2		      |	15.1		0	0	0	0
15.9		1	0	1	0		      |	15.9		0	0	0	0
15.19		1	1	0	0		      |	15.19		0	0	0	0
15.30		3	0	3	0		      |	15.30		2	0	2	0
17.8		1	0	0	1		      |	17.8		0	0	0	0
17.19		3	0	1	2		      |	17.19		2	0	1	1
17.21		2	2	0	0		      |	17.21		0	0	0	0
18.2		2	0	0	2		      |	18.2		0	0	0	0
18.6		1	0	0	1		      |	18.6		0	0	0	0
19.19		1	0	0	1		      |	19.19		0	0	0	0
19.20		1	0	0	1		      |	19.20		0	0	0	0
20.1		8	0	3	5		      |	20.1		5	0	3	2
